Key,Source,Context,Max Line Width,English,Francais,German
lblAttributeVehicleDrag,UI,Item Info,KgNone,Drag,Traîner,Ziehen,,Arrastrar
lblAttributeVehicleIdleSecondsPerLiter,UI,Item Info,KgNone,Idle Seconds Per Liter,Secondes au ralenti par litre,Sekunden im Leerlauf pro Liter,,Segundos inactivos por litro
lblAttributeVehicleMaxSpeed,UI,Item Info,KgNone,Max Speed,Vitesse maximale,Max. Geschwindigkeit,,Velocidad máxima
lblAttributeVehicleMaxSteeringAngle,UI,Item Info,KgNone,Max Steering Angle,Angle de direction maximal,Max. Lenkeinschlag,,Ángulo de dirección máximo
lblAttributeVehicleMetersPerLiter,UI,Item Info,KgNone,Meters Per Liter,Mètres par litre,Meter pro Liter,,Metros por litro
lblAttributeVehicleNoise,UI,Item Info,KgNone,Noise Amount,Quantité de bruit,Lärm,,Nivel de ruido
lblAttributeVehiclePlayerStaminaDrainRate,UI,Item Info,KgNone,Player Stamina Drain Rate,Taux de perte d'endurance du joueur,Ausdauersenkungsrate,,Índice de drenaje de resistencia del jugador
lblAttributeVehicleStartChance,UI,Item Info,KgNone,Start Chance,Chance de départ,Start-Chance,,Probabilidad de arranque
lblAttributeVehicleStartDelayInSeconds,UI,Item Info,KgNone,Start Delay,Délai de départ,Start-Verzögerung,,Retraso de arranque
lblAttributeVehicleSteering,UI,Item Info,KgNone,Steering Speed,Vitesse de direction,Lenkeinschlag-Geschwindigkeit,,Velocidad de dirección
lblAttributeVehicleTankSize,UI,Item Info,KgNone,Tank Size,Taille du réservoir,Tank-Größe,,Tamaño del depósito
lblAttributeVehicleTraction,UI,Item Info,KgNone,Traction,Traction,Bodenhaftung,,Tracción
lblAttributeWaterproof,UI,Item Info,KgNone,Waterproof,Imperméable,Wasserdicht,,A prueba de agua
lblAttributeWaterProtection,UI,Item Info,KgNone,Water Resistance,Résistance à l'eau,Wasserfestigkeit,,Resistencia al agua
lblBagSmllRng,UI,Item Info,KgNone,Bag Smell Range,Portée de la puanteur du sac,Beutel-Geruchsradius,,Rango de olor en mochila
lblBagSmllStr,UI,Item Info,KgNone,Bag Smell Str.,Puissance de la puanteur du sac,Beutel-Geruchsstärke,,Fuerza de olor en mochila
lblBeltSmllRng,UI,Item Info,KgNone,Belt Smell Range,Portée de la puanteur de la ceinture,Gürtel-Geruchsradius,,Rango de olor en cinturón
lblBeltSmllStr,UI,Item Info,KgNone,Belt Smell Str.,Puissance de la puanteur de la ceinture,Gürtel-Geruchsstärke,,Fuerza de olor en cinturón
lblBlkDmg,UI,Item Info,KgNone,Block Damage,Dégâts de bloc,Blockschaden,,Daño en bloque
lblBlkRpr,UI,Item Info,KgNone,Block Repair,Réparation de bloc,Block reparieren,,Reparación de bloqueo
lblBookDesc,UI,Item Info,KgNone,Description,Description,Beschreibung,,Descripción
lblBookTitle,UI,Item Info,KgNone,Title,Titre,Titel,,Título
lblBrnTime,UI,Item Info,KgNone,Burn Time,Durée de combustion,Brenndauer,,Tiempo de combustión
lblCraftingExpertise,UI,Item Info,KgNone,Crafting Expertise,Expertise de fabrication,Handwerksexpertise,,Experiencia de fabricación
lblDurability,UI,Item Info,KgNone,Durability,Durabilité,Haltbarkeit,,Durabilidad
lblEffect,UI,Item Info,KgNone,Effect,Effet,Effekt,,Efecto
lblEffectChance,UI,Item Info,KgNone,Effect Chance,Chance de l'effet,Effekt-Chance,,Probabilidad de efecto
lblEffectDescription,UI,Item Info,KgNone,Effect Description,Description de l'effet,Effekt-Beschreibung,,Descripción de efecto
lblEntDmg,UI,Item Info,KgNone,Entity Damage,Dégâts d'entité,Wesen-Schaden,,Daño a entidades
lblExpertise,UI,Item Info,KgNone,Expertise,Expertise,Expertise,,Experiencia
lblForgeMat,UI,Item Info,KgNone,Forge Material,Matériaux de la forge,Material für die Schmiede,,Material de forja
lblForgeWeight,UI,Item Info,KgNone,Forge Weight,Poids de la forge,Gewicht der Schmiede,,Peso de forja
lblFullness,UI,Item Info,KgNone,Fullness,Plénitude,Sättigung,,Saciedad
lblGassiness,UI,Item Info,KgNone,Gassiness,Proportion de gaz,Aufgeblähtheit,,Gases
lblGearSlot,UI,Item Info,KgNone,Gear Slot,Emplacement d'équipement,Ausrüstungsslot,,Ranura de equipo
lblGroup,UI,Item Info,KgNone,Group(s),Groupe(s),Gruppe(n),,Grupo(s)
lblHardness,UI,Item Info,KgNone,Hardness,Dureté,Härte,,Dureza
lblHealth,UI,Item Info,KgNone,Health,Santé,Gesundheit,,Salud
lblHydration,UI,Item Info,KgNone,Hydration,Hydratation,Hydrierung,,Hidratación
lblKnown,UI,Item Info,KgNone,Known,Connu,Bekannt,,Conocidos
lblMass,UI,Item Info,KgNone,Mass,Masse,Masse,,Masa
lblMaxLoad,UI,Item Info,KgNone,Max Load,Charge maximale,Max. Belastung,,Carga máxima
lblProtection,UI,Item Info,KgNone,Protection,Protection,Schutz,,Protección
lblQuality,UI,Item Info,KgNone,Quality,Qualité,Qualität,,Calidad
lblQualityAverage,UI,Item Info,KgNone,Good {0},{0} standard,{0} (gut),,Aceptable {0}
lblQualityBroken,UI,Item Info,KgNone,Broken {0},{0} cassé(e),{0} (beschädigt),,Averiado {0}
lblQualityDamaged,UI,Item Info,KgNone,Faulty {0},{0} défectueux,{0} (fehlerhaft),,Defectuoso {0}
lblQualityFlawless,UI,Item Info,KgNone,Great {0},{0} super,{0} (großartig),,Genial {0}
lblQualityGreat,UI,Item Info,KgNone,Fine {0},{0} d'exception,{0} (ausgezeichnet),,Bien {0}
lblQualityLegendary,UI,Item Info,KgNone,Flawless {0},{0} impeccable,{0} (makellos),,Perfecto {0}
lblQualityPoor,UI,Item Info,KgNone,Poor {0},{0} de piètre qualité,{0} (schlecht),,Deficiente {0}
lblRepairAmount,UI,Item Info,KgNone,Repair Amount,Réparer la quantité,Reparaturwert,,Cantidad para reparar
lblRepairItem,UI,Item Info,KgNone,Repair:,Réparation:,Reparieren:,,Reparar:
lblRepairItems,UI,Item Info,KgNone,Repair items:\n,Réparer les objets :\n,Gegenstände reparieren:\n,,Reparar objetos:\n
lblRmvEffect,UI,Item Info,KgNone,Removes,Retire,Entfernt,,Elimina
lblStamina,UI,Item Info,KgNone,Stamina,Endurance,Ausdauer,,Resistencia
lblWellness,UI,Item Info,KgNone,Wellness,Bien-être,Wohlbefinden,,Bienestar
loadActionAtlases,UI,Load Actions,KgNone,atlases,atlas,Karten,,atlas
loadActionBlocks,UI,Load Actions,KgNone,blocks,blocs,Blöcke,,bloques
loadActionBlockTextures,UI,Load Actions,KgNone,block textures,textures des blocs,Blocktexturen,,texturas de los bloques
loadActionCharacterModels,UI,Load Actions,KgNone,character models,modèles de personnages,Charaktermodele,,modelos de personajes
loadActionDone,UI,Load Actions,KgNone,done,terminé,Fertig,,hecho
loadActionItems,UI,Load Actions,KgNone,items,objets,Gegenstände,,objetos
loadActionLoading,UI,Load Actions,KgNone,Loading,Chargement en cours,Lädt,,Cargando
loadActionMaterials,UI,Load Actions,KgNone,materials,matériaux,Material,,materiales
loadActionMoveSaveGameFolder,UI,Load Actions,KgNone,moving savegame folder,déplacement du dossier de sauvegarde,Spielstand-Ordner wird verschoben,,moviendo las partidas guardadas
loadActionParticles,UI,Load Actions,KgNone,particles,particules,Partikel,,partículas
loadActionTerrainTextures,UI,Load Actions,KgNone,terrain textures,textures des terrains,Terraintexturen,,texturas del terreno
xuiMapSelfLabel,UI,Map Object Name For Your Character,KgNone,YOU,VOUS,DU,,TÚ
backpackDropped,UI,Menu,KgNone,Dropped Backpack,Sac à dos abandonné,Fallengelassener Rucksack,,Mochila perdida
breakdownWeapon,UI,Menu,KgNone,Breakdown Item,Briser l'objet,Gegenstand zerlegen,,Objeto de ensamble
btnApply,UI,Menu,KgNone,Apply,Appliquer,Anwenden,,Aplicar
btnBack,UI,Menu,KgNone,Back,Retour,Zurück,,Atrás
btnCancel,UI,Menu,KgNone,Cancel,Annuler,Abbrechen,,Cancelar
btnConfigControls,UI,Menu,KgNone,Config Controls,Paramètres des commandes,Steuerung anpassen,,Configurar controles
btnConfirm,UI,Menu,KgNone,Delete,Supprimer,Löschen,,Borrar
btnConnectToServer,UI,Menu,KgNone,Connect To Server,Se connecter au serveur,Mit dem Server verbinden,,Conectar al servidor
btnContinue,UI,Menu,KgNone,Continue,Continuer,Weiter,,Continuar
btnContinueGame,UI,Menu,KgNone,Continue Game,Continuer la partie,Spiel fortsetzen,,Continuar partida
btnCreateWorld,UI,Menu,KgNone,Editing Tools,Outils d'édition,Bearbeitungs-tools,,Herramientas de edición
btnCredits,UI,Menu,KgNone,Credits,Crédits,Mitwirkende,,Créditos
btnDefaults,UI,Menu,KgNone,Defaults,Par défaut,Standardeinstellungen,,Predeterminados
btnDelete,UI,Menu,KgNone,Delete Save,Supprimer la sauvegarde,Speicherstand löschen,,Borrar partida guardada
btnExit,UI,Menu,KgNone,Quit,Quitter,Verlassen,,Salir
btnMoreInfo,UI,Menu,KgNone,More Info,Plus d'informations,Mehr Infos,,Más información
btnMyAccount,UI,Menu,KgNone,My Account,Mon compte,Mein Konto,,Mi cuenta
btnNewGame,UI,Menu,KgNone,New Game,Nouvelle partie,Neues Spiel,,Partida nueva
btnOffline,UI,Menu,KgNone,Offline,Hors ligne,Offline,,Sin conexión
btnOk,UI,Menu,KgNone,Ok,OK,Ok,,Aceptar
btnOptions,UI,Menu,KgNone,Options,Options,Optionen,,Opciones
btnOptionsAudio,UI,Menu,KgNone,Audio,Audio,Audio,,Audio
btnOptionsControls,UI,Menu,KgNone,Controls,Commandes,Steuerung,,Controles
btnOptionsNetwork,UI,Menu,KgNone,Network,Réseau,Netzwerk,,Red
btnOptionsPlayer,UI,Menu,KgNone,Player,Joueur,Spieler,,Jugador
btnOptionsVideo,UI,Menu,KgNone,Video,Vidéo,Video,,Video
btnRentServer,UI,Menu,KgNone,Rent a Server,Louer un serveur,Server mieten,,Alquilar un servidor
btnReset,UI,Menu,KgNone,Reset Defaults,Réinitialiser par défaut,Zurücksetzen,,Restablecer predeterminados
btnResetGameOptions,UI,Menu,KgNone,Restore Mode Defaults,Restaurer le mode par défaut,Standardeinstellungen des Modus wiederherstellen,,Restablecer modo predeterminado
btnRetry,UI,Menu,KgNone,Retry,Réessayer,Erneut versuchen,,Volver a intentar
btnStart,UI,Menu,KgNone,Start,Commencer,Starten,,Empezar
btnTakeAll,UI,Menu,KgNone,Take All,Tout prendre,Alles nehmen,,Recoger todo
cbBloom,UI,Menu,KgNone,Bloom,Flou lumineux,Bloom,,Bloom
cbDOF,UI,Menu,KgNone,DOF,Profondeur de champ,Tiefenschärfe,,Profundidad de campo
cbDynamicContrast,UI,Menu,KgNone,Dynamic Contrast,Contraste dynamique,Dynamischer Kontrast,,Contraste dinámico
cbEnableDeferredLighting,UI,Menu,KgNone,High quality light,Lumière de haute qualité,Hochwertige Lichteffekte,,Luz de alta calidad
cbEnableImageEffects,UI,Menu,KgNone,Enable Image Effects,Activer les effets visuels,Bildeffekte aktivieren,,Activar efectos de imagen
cbEnableVoiceChat,UI,Menu,KgNone,Enable voice chat,Activer le chat vocal,Voice-Chat aktivieren,,Activar chat de voz
cbReflectedShadows,UI,Menu,KgNone,Reflected Shadows,Ombres reflétées,Reflektierte Schatten,,Sombras reflejadas
cbShowCompass,UI,Menu,KgNone,Show Compass,Afficher la boussole,Kompass zeigen,,Mostrar brújula
cbShowCrosshair,UI,Menu,KgNone,Show Crosshair,Afficher le réticule,Fadenkreuz zeigen,,Mostrar mira
cbSSAO,UI,Menu,KgNone,SSAO,Occlusion ambiante,SSAO,,SSAO
cbSunShafts,UI,Menu,KgNone,Sun Shafts,Rayons de soleil,Sonnenstrahlen,,Rayos del sol
cbTonemapping,UI,Menu,KgNone,Tonemapping,Mappage ton local,Tonemapping,,Mapeo tonal
cbxAnimals,UI,Menu,KgNone,Animals,Animaux,Tiere,,Animales
cbxAutologin,UI,Menu,KgNone,Autologin,Connexion automatique,Automatische Anmeldung,,Inicio de sesión automático
cbxBiomes,UI,Menu,KgNone,Biomes,Environnements,Biome,,Biomas
cbxCreateEmptyWorld,UI,Menu,KgNone,Create Empty,Créer un monde vide,Leer erstellen,,Crear mundo vacío
cbxDedicatedServer,UI,Menu,KgNone,Dedicated Server,Serveur dédié,Dedizierter Server,,Servidor dedicado
cbxDynamic,UI,Menu,KgNone,Dynamic,Dynamique,Dynamisch,,Dinámico
cbxInvertMouse,UI,Menu,KgNone,Invert Mouse,Inverser la souris,Maus invertieren,,Ratón invertido
cbxPOIs,UI,Menu,KgNone,POIs,Points d'intérêt,Sehenswürdigkeiten,,Puntos de interés
cbxSelectWorld,UI,Menu,KgNone,Select World:,Sélectionner le monde :,Welt auswählen:,,Seleccionar mundo:
cbxWaterQuality,UI,Menu,KgNone,Water Quality:,Qualité de l'eau :,Qualität des Wassers:,,Calidad del agua:
containerLocked,UI,Menu,KgNone,Container Locked,Espace de stockage verrouillé,Behälter ist verriegelt,,Contenedor cerrado
containerUnlocked,UI,Menu,KgNone,Container Unlocked,Espace de stockage déverrouillé,Behälter ist entriegelt,,Contenedor abierto
doorLocked,UI,Menu,KgNone,Door Locked,Porte verrouillée,Tür ist verriegelt,,Puerta cerrada
doorUnlocked,UI,Menu,KgNone,Door Unlocked,Porte déverrouillée,Tür ist entriegelt,,Puerta abierta
eacDisconnected,UI,Menu,KgNone,Connection lost,Connexion perdue,Verbindung verloren,,Conexión perdida
eacIntegrityViolation,UI,Menu,KgNone,Integrity violation,Violation de l'intégrité,Verletzung der Integrität,,Violación de integridad
eacNetError,UI,Menu,KgNone,Network error,Erreur de réseau,Netzwerk-Fehler,,Error de red
eacUnableToPlayOnProtected,UI,Menu,KgNone,You will not be able to play on EAC protected servers during this game session.,Vous ne pourrez pas jouer sur des serveurs protégés EAC lors de cette partie.,Du wirst während dieser Spielsitzung nicht auf durch EAC geschützte Server zugreifen können.,,No podrás jugar en servidores protegidos con EAC durante esta sesión de juego.
eacUnknown,UI,Menu,KgNone,Unknown state,Statut inconnu,Unbekannter Zustand,,Estado desconocido
forgeFuel,UI,Menu,KgNone,Fire burn time:,Durée de combustion du feu :,Brenndauer von Feuer:,,Tiempo de combustión:
forgeFuelBurnTime,UI,Menu,KgNone,{0}:{1},{0} h {1},{0}:{1},,{0}:{1}
forgeInputBrass,UI,Menu,KgNone,Brass,Laiton,Messing,,Latón
forgeInputClay,UI,Menu,KgNone,Clay,Argile,Lehm,,Arcilla
forgeInputCloth,UI,Menu,KgNone,Cloth,Tissu,Tuch,,Paño
forgeInputGlass,UI,Menu,KgNone,Glass,Verre,Glas,,Cristal
forgeInputIron,UI,Menu,KgNone,Iron,Fer,Eisen,,Hierro
forgeInputLead,UI,Menu,KgNone,Lead,Plomb,Blei,,Plomo
forgeInputPlants,UI,Menu,KgNone,Plants,Plantes,Pflanzen,,Plantas
forgeInputStone,UI,Menu,KgNone,Stone,Pierre,Stein,,Piedra
forgeInputTungsten,UI,Menu,KgNone,Tungsten,Tungstène,Wolfram,,Tungsteno
forgeInputType,UI,Menu,KgNone,{0},{0},{0},,{0}
forgeInputTypePrefix,UI,Menu,KgNone,Material needed:,Matériaux nécessaires :,Benötigte Materialien:,,Material necesario:
forgeInputWeight,UI,Menu,KgNone,Amount: {0},Quantité : {0},Menge: {0},,Cantidad: {0}
forgeMetalNeeded,UI,Menu,KgNone,Mold Capacity:,Capacité de moulage :,Gussform-Kapazität:,,Capacidad del molde:
forgeMoldCapacity,UI,Menu,KgNone,Capacity: {0},Capacité : {0},Kapazität: {0},,Capacidad: {0}
forgeMoldTime,UI,Menu,KgNone,Time: {0}:{1},Durée : {0} h {1},Zeit: {0}:{1},,Tiempo: {0}:{1}
forgeOutputWeight,UI,Menu,KgNone,{0},{0},{0},,{0}
friendInviteAccepted,UI,Menu,EnChanged KgNone,Accepted friend request from {0}.,Vous avez accepté la demande d'allié de {0}.,Verbündeteschaftsanfrage von {0} angenommen.,,Aceptaste la solicitud de aliado de {0}.
friendInviteAccepted2,UI,Menu,EnChanged KgNone,{0} accepted your friend request.,{0} a accepté votre demande d'allié.,{0} hat deine Verbündeteschaftsanfrage angenommen.,,{0} aceptó tu solicitud de aliado.
friendInviteDeclined,UI,Menu,EnChanged KgNone,Declined friend invite from {0}.,Vous avez refusé la demande d'allié de {0}.,Verbündeteschaftsanfrage von {0} abgelehnt.,,Rechazaste la invitación de aliado de {0}.
friendInviteDeclined2,UI,Menu,EnChanged KgNone,{0} declined your friend request.,{0} a refusé votre demande d'allié.,{0} hat deine Verbündeteschaftsanfrage abgelehnt.,,{0} rechazó tu solicitud de aliado.
friendInviteReceived,UI,Menu,EnChanged KgNone,Friend invite received from {0}.,Vous avez reçu une demande d'allié de {0}.,Verbündeteschaftsanfrage von {0} erhalten.,,Recibiste una solicitud de aliado de {0}.
friendRemoved,UI,Menu,EnChanged KgNone,{0} was removed from your friends list.,Vous avez retiré {0} de votre liste d'alliés.,{0} wurde aus deiner Verbündete entfernt.,,Se eliminó a {0} de tu lista de aliados.
friendRemoved2,UI,Menu,EnChanged KgNone,{0} removed you from their friends list.,{0} vous a retiré(e) de sa liste d'alliés.,Du wurdest aus der Verbündete von {0} entfernt.,,{0} te eliminó de su lista de aliados.
friendSentInvite,UI,Menu,EnChanged KgNone,Friend invite sent to {0}.,Vous avez envoyé une demande d'allié à {0}.,Verbündeteschaftsanfrage an {0} geschickt.,,Invitación de aliado enviada a {0}.
friendTracked,UI,Menu,KgNone,Tracking {0},Pistage de {0},{0} verfolgen,,Siguiendo a {0}.
friendUntracked,UI,Menu,KgNone,Not tracking {0} any more,Vous ne pistez plus {0},{0} wird nicht mehr verfolgt,,Ya no sigues a {0}.
gmCreative,UI,Menu,KgNone,Creative,Création,Kreativ,,Creativo
gmCreativeDesc,UI,Menu,KgNone,Creative mode,Mode création,Kreativer Modus,,Modo creativo
gmDeathmatch,UI,Menu,KgNone,Deathmatch,Match à mort,Deathmatch,,Partida a muerte
gmDeathmatchDesc,UI,Menu,KgNone,bla bla bla,blablabla,bla bla bla,,bla bla bla
gmEditWorld,UI,Menu,KgNone,Edit,Modifier,Bearbeiten,,Editar
gmEditWorldDesc,UI,Menu,KgNone,Edit world mode,Modifier le mode de monde,Welt-Bearbeitungsmodus,,Editar modo del mundo
gmSurvival,UI,Menu,KgNone,Survival,Survie,Überlebensmodus,,Supervivencia
gmSurvivalDesc,UI,Menu,KgNone,The stock single player story driven campaign mode played in Navezgane.,Le mode un joueur comportant l'histoire et les campagnes jouées à Navezgane.,"Der Standard-Modus in Navezgane ist eine Kampagne für Einzelspieler, bei der die Geschichte im Mittelpunkt steht.",,El modo campaña de un jugador en Navezgane.
gmSurvivalMP,UI,Menu,KgNone,Survival MP,Survie multijoueur,Mehrspieler – Überlebensmodus,,Supervivencia MJ
gmSurvivalPvP,UI,Menu,KgNone,Survival PvP,Survie JcJ,PvP – Überlebensmodus,,Supervivencia JcJ
gmSurvivalSP,UI,Menu,KgNone,Survival SP,Survie un joueur,Einzelspieler – Überlebensmodus,,Supervivencia UJ
gmZombieDesc,UI,Menu,KgNone,blub blub blub,blub blub blub,blub blub blub,,blub blub blub
gmZombieHorde,UI,Menu,KgNone,Zombie Horde,Horde de zombies,Zombiehorde,,Horda zombi
goAchievementsDisabledPS4,UI,Menu,KgNone,Trophies Disabled,Trophées désactivés,Trophäen deaktiviert,,Trofeos desactivados
goAchievementsDisabledXB1,UI,Menu,KgNone,Achievements Disabled,Succès désactivés,Errungenschaften deaktiviert,,Logros desactivados
goAirDropFrequency,UI,Menu,KgNone,Air Drops,Parachutages,Abwurf aus der Luft,,Suministros aéreos
goAirDropFrequencyDesc,UI,Menu,KgNone,How often supplies are air-dropped in game hours.,Quantité de provisions parachutées en heures de jeu.,"Bestimmt, wie oft Abwürfe aus der Luft in Spielstunden erfolgen.",,La frecuencia con la que caen los suministros aéreos en las horas de juego.
goAirDropValue,UI,Menu,KgNone,Every {0} day(s),Tous les {0} jour(s),Alle {0} Tag(e),,Cada {0} día(s)
goAirDropValues,UI,Menu,KgNone,Every {0} day(s),Tous les {0} jour(s),Alle {0} Tag(e),,Cada {0} día(s)
goAll,UI,Menu,KgNone,Everything,Tout,Alles,,Todo
goBackpack,UI,Menu,KgNone,Backpack Only,Sac à dos uniquement,Nur Rucksack,,Solo mochila
goBlockDurability,UI,Menu,KgNone,Block Durability,Durabilité du bloc,Haltbarkeit der Blöcke,,Durabilidad de bloques
goBlockDurabilityDesc,UI,Menu,KgNone,Modifies the hardness of every block in the world. If you increase hardness then you and zombies will do less damage to blocks and mining is slower.,"Modifie la dureté de chaque bloc du monde. Si vous augmentez la dureté, les zombies et votre personnage infligeront alors moins de dégâts aux blocs, et miner prendra plus de temps.","Ändert die Härte aller Blöcke in der Welt. Erhöhst du die Härte, dann machen Zombies und du weniger Schaden gegenüber Blöcken und Bergbau dauert länger.",,"Modifica la dureza de cada bloque del mundo. Si aumenta la dureza, tanto los zombis como tú harán menos daño a los bloques y la minería será más lenta."
goBlockDurabilityValue,UI,Menu,KgNone,{0}%,{0} %,{0} %,,{0} %
goBlockDurabilityValues,UI,Menu,KgNone,{0}%,{0} %,{0} %,,{0} %
goBuildCreate,UI,Menu,KgNone,Cheat Mode:,Mode tricherie :,Cheat-Modus:,,Modo con trucos:
goBuildCreateDesc,UI,Menu,KgNone,Sets if creative mode and tools are allowed.,Définit si le mode création et les outils sont autorisés.,"Legt fest, ob der kreative Modus und Werkzeuge erlaubt sind.",,Establece si el modo creativo y las herramientas están permitidas.
goBuildCreateDescPS4,UI,Menu,KgNone,Sets if creative mode and tools are allowed. This is a permanent setting that cannot be changed once the game is created. Trophies cannot be earned with this active.,Définit si le mode création et les outils sont autorisés. Ce paramètre est définitif et ne peut être changé en cours de partie. Vous ne pouvez pas obtenir de trophées si cette fonction est activée.,"Legt fest, ob der kreative Modus und Werkzeuge erlaubt sind. Dies ist eine dauerhafte Einstellung, die nach dem Erstellen des Spiels nicht mehr geändert werden kann. Wenn dies aktiviert ist, können keine Trophäen erhalten werden.",,"Establece si el modo creativo y las herramientas están permitidas. Esta es una configuración permanente y no se puede cambiar una vez que se haya creado la partida. Si esto está activo, no puedes ganar trofeos."
goBuildCreateDescXB1,UI,Menu,KgNone,Sets if creative mode and tools are allowed. This is a permanent setting that cannot be changed once the game is created. Achievements cannot be earned with this active.,Définit si le mode création et les outils sont autorisés. Ce paramètre est définitif et ne peut être changé en cours de partie. Vous ne pouvez pas obtenir de succès si cette fonction est activée.,"Legt fest, ob der kreative Modus und Werkzeuge erlaubt sind. Dies ist eine dauerhafte Einstellung, die nach dem Erstellen des Spiels nicht mehr geändert werden kann. Wenn dies aktiviert ist, können keine Errungenschaften erhalten werden.",,"Establece si el modo creativo y las herramientas están permitidas. Esta es una configuración permanente y no se puede cambiar una vez que se haya creado la partida. Si esto está activo, no puedes ganar logros."
goCategoryAdvancedOptions,UI,Menu,KgNone,Modded Options,Options modifiées,Modifizierte Optionen,,Opciones modificadas
goCategoryGameOptions,UI,Menu,KgNone,Standard Options,Options standards,Standard-Optionen,,Opciones estándar
goCategoryMultiplayer,UI,Menu,KgNone,Multiplayer,Multijoueur,Mehrspieler,,Multijugador
goCraftTimer,UI,Menu,KgNone,Craft Timer,Durée de fabrication,Fertigungs-Timer,,Cronómetro de fabricación
goCraftTimerDesc,UI,Menu,KgNone,This is the amount of time that crafting items will take to craft items. Fast is double speed.,La durée de fabrication des objets. Rapide double la vitesse.,"Zeigt an, wie lange das Fertigen von Gegenständen dauert. „Schnell“ entspricht der doppelten Geschwindigkeit.",,Se indica la cantidad de tiempo que tardarán los objetos de fabricación en fabricar objetos. Rápido es el doble de velocidad.
goDay,UI,Menu,KgNone,{0} Day,{0} jour,{0} Tag,,{0} día
goDayCount,UI,Menu,KgNone,Match Length:,Longueur du match :,Länge des Matches:,,Duración de la partida:
goDayCountDesc,UI,Menu,KgNone,Number of days per match.,Nombre de jours par match.,Anzahl der Tage pro Match.,,Cantidad de días por partida.
goDayLength,UI,Menu,KgNone,24 Hour Cycle:,Cycle de 24 heures :,24-Stunden-Zyklus:,,Ciclo de 24 horas:
goDayLengthDesc,UI,Menu,EnChanged KgNone,How long it takes for 24 hours to pass in the game.,Durée réelle d'un cycle de 24 heures dans le jeu.,"Bestimmt, wie lange es in Echtzeit dauert, bis 24 Stunden im Spiel vergehen.",,Cuánto tardan en pasar las 24 horas en el juego en minutos reales.
goDayLightLength,UI,Menu,KgNone,Daylight Length,Heures de clarté,Dauer des Tageslichts,,Duración de la luz diurna
goDayLightLengthDesc,UI,Menu,KgNone,How many hours the sun shines per day.,Le nombre d'heures d'ensoleillement par jour.,"Zeigt an, wie viele Stunde die Sonne jeden Tag scheint.",,Cuántas horas diarias brilla el sol.
goDayLightLengthValue,UI,Menu,KgNone,{0},{0},{0},,{0}
goDayLightLengthValues,UI,Menu,KgNone,{0},{0},{0},,{0}
goDays,UI,Menu,KgNone,{0} Days,{0} jours,{0} Tage,,{0} días
goDeleteAll,UI,Menu,KgNone,Delete All,Tout supprimer,Alles löschen,,Borrar todo
goDifficulty,UI,Menu,KgNone,Difficulty Settings,Paramètres de difficulté,Einstellung des Schwierigkeitsgrads,,Opciones de dificultad
goDifficulty1,UI,Menu,KgNone,Scavenger,Glaneur,Plünderer,,Carroñero
goDifficulty2,UI,Menu,EnChanged FrChanged GrChanged SpChanged ,Adventurer,Aventurier,Abenteurer,,Aventurero
goDifficulty3,UI,Menu,EnChanged FrChanged GrChanged SpChanged ,Nomad (default),Nomade (par défaut),Nomade (Standard),,Nómada (predeterminado)
goDifficulty4,UI,Menu,KgNone,Warrior,Guerrier,Krieger,,Guerrero
goDifficulty5,UI,Menu,KgNone,Survivalist,Survivaliste,Überlebenskünstler,,Sobreviviente
goDifficulty6,UI,Menu,KgNone,Insane,Extrême,Irrer,,Demente
goDifficultyDesc,UI,Menu,KgNone,"\nChoose from 6 Difficulty settings.\n\n1. Scavenger: Easiest setting designed for noobs.\n\n2. Adventurer: Not just a new recruit any more.\n\n3. Nomad: Designed for Experienced FPS players.\n\n4. Warrior: Now you're starting to impress!\n\n5. Survivalist: Kids, don't try this at home!\n\n6. Insane: You're one brave Mother!","\nChoisissez parmi 6 paramètres de difficulté.\n\n1. Glaneur : le mode le plus facile, pour les débutants.\n\n2. Aventurier : vous n'êtes plus un bleu.\n\n3. Nomade : pour les joueurs maîtrisant les FPS.\n\n4. Guerrier : ça commence à être impressionnant !\n\n5. Survivaliste : les enfants, n'essayez pas ça chez vous !\n\n6. Extrême : vous êtes sacrément courageux !","\nWähle einen von 6 Schwierigkeitsgraden.\n\n1. Plünderer: Die einfachste Einstellung ist für Anfänger gedacht.\n\n2. Abenteurer: Du bist kein Grünschnabel mehr.\n\n3. Nomade: Gedacht für erfahrene Egoshooter-Spieler.\n\n4. Krieger: Jetzt fängst du an, zu beeindrucken!\n\n5. Überlebenskünstler: Kinder, bitte nicht zu Hause nachmachen!\n\n6. Irrer: Na, wenn du mal nicht mutig bist!",,"\nElige entre seis niveles de dificultad.\n\n1. Carroñero: El más fácil de todos, para novatos.\n\n2. Aventurero: Ya no eres un recién llegado.\n\n3. Nómada: Diseñado para personas experimentadas en juegos de disparos en primera persona.\n\n4. Guerrero: ¡Comienzas a impresionarnos!\n\n5. Sobreviviente: ¡Niños, no intenten esto en casa!\n\n6. Demente: ¡Valiente hijo...!"
goDisabled,UI,Menu,KgNone,Disabled,Désactivé,Deaktiviert,,Deshabilitado
goDropOnDeath,UI,Menu,KgNone,Drop On Death,Perte en cas de mort,Fallenlassen bei Tod,,Soltar al morir
